"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies Inc","Healthcare","Diagnostics & Research","USA",32241.35,27.99,113.50,0.00%,0
2,"AA","Alcoa Corp","Basic Materials","Aluminum","USA",7353.18,7.28,28.40,0.00%,0
3,"AAA","Alternative Access First Priority CLO Bond ETF","Financial","Exchange Traded Fund","USA",,,25.03,0.00%,0
4,"AAAA","Amplius Aggressive Asset Allocation ETF","Financial","Exchange Traded Fund","USA",,,25.02,0.00%,0
5,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,33.15,0.00%,0
6,"AACB","Artius II Acquisition Inc","Financial","Shell Companies","USA",298.12,,10.14,0.00%,0
7,"AACG","ATA Creativity Global ADR","Consumer Defensive","Education & Training Services","China",48.58,,1.52,40.74%,653952
8,"AACI","Armada Acquisition Corp. II","Financial","Shell Companies","USA",318.74,,10.09,0.00%,0
9,"AACT","Ares Acquisition Corporation II","Financial","Shell Companies","USA",705.82,31.57,11.41,0.00%,0
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,77.36,0.00%,0
11,"AAL","American Airlines Group Inc","Industrials","Airlines","USA",7357.09,14.34,11.15,1.09%,29582
12,"AALG","Leverage Shares 2X Long AAL Daily ETF","Financial","Exchange Traded Fund","USA",,,10.59,0.00%,0
13,"AAM","AA Mission Acquisition Corp","Financial","Shell Companies","USA",459.97,49.74,10.46,0.00%,0
14,"AAME","Atlantic American Corp","Financial","Insurance - Life","USA",45.81,,2.25,0.00%,0
15,"AAMI","Acadian Asset Management Inc","Financial","Asset Management","USA",1416.78,16.52,39.58,0.00%,0
16,"AAOI","Applied Optoelectronics Inc","Technology","Communication Equipment","USA",1248.54,,22.24,3.30%,2829
17,"AAON","AAON Inc","Industrials","Building Products & Equipment","USA",6643.55,42.90,81.65,0.00%,0
18,"AAP","Advance Auto Parts Inc","Consumer Cyclical","Auto Parts","USA",3158.68,,52.71,0.00%,0
19,"AAPB","GraniteShares 2x Long AAPL Daily ETF","Financial","Exchange Traded Fund","USA",,,19.67,1.55%,7197
20,"AAPD","Direxion Daily AAPL Bear 1X Shares","Financial","Exchange Traded Fund","USA",,,17.73,-0.62%,11462
21,"AAPG","Ascentage Pharma Group International ADR","Healthcare","Biotechnology","China",3444.35,,37.20,0.00%,0
22,"AAPL","Apple Inc","Technology","Consumer Electronics","USA",3044369.47,30.99,203.83,0.72%,50224
23,"AAPR","Innovator Equity Defined Protection ETF - 2 Yr to April 2026","Financial","Exchange Traded Fund","USA",,,27.37,0.00%,0
24,"AAPU","Direxion Daily AAPL Bull 2X Shares","Financial","Exchange Traded Fund","USA",,,21.39,1.42%,61667
25,"AAPW","Roundhill AAPL WeeklyPay ETF","Financial","Exchange Traded Fund","USA",,,33.56,0.00%,0
26,"AAPX","T-Rex 2X Long Apple Daily Target ETF","Financial","Exchange Traded Fund","USA",,,18.20,0.00%,0
27,"AAPY","Kurv Yield Premium Strategy Apple (AAPL) ETF","Financial","Exchange Traded Fund","USA",,,21.17,0.00%,0
28,"AARD","Aardvark Therapeutics Inc","Healthcare","Biotechnology","USA",263.17,,12.13,0.00%,0
29,"AAT","American Assets Trust Inc","Real Estate","REIT - Diversified","USA",1143.22,15.36,18.70,0.00%,0
30,"AAUC","Allied Gold Corp","Basic Materials","Gold","Canada",1504.56,,13.04,0.00%,0
31,"AAUS","Alpha Architect US Equity ETF","Financial","Exchange Traded Fund","USA",,,49.19,0.00%,0
32,"AAVM","Alpha Architect Global Factor Equity ETF","Financial","Exchange Traded Fund","USA",,,26.60,0.00%,0
33,"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund","USA",,,82.90,0.00%,0
34,"AB","AllianceBernstein Holding Lp","Financial","Asset Management","USA",4494.09,12.11,40.62,0.00%,0
35,"ABAT","American Battery Technology Company","Industrials","Waste Management","USA",215.58,,2.33,5.91%,26043
36,"ABBV","Abbvie Inc","Healthcare","Drug Manufacturers - General","USA",344837.19,92.66,195.22,0.00%,0
37,"ABCB","Ameris Bancorp","Financial","Banks - Regional","USA",4541.92,11.61,65.91,0.00%,0
38,"ABCL","AbCellera Biologics Inc","Healthcare","Biotechnology","Canada",1265.57,,4.24,0.00%,0
39,"ABCS","Alpha Blue Capital US Small-Mid Cap Dynamic ETF","Financial","Exchange Traded Fund","USA",,,28.43,0.00%,0
40,"ABEO","Abeona Therapeutics Inc","Healthcare","Biotechnology","USA",332.01,,6.49,0.00%,0
41,"ABEQ","Absolute Select Value ETF","Financial","Exchange Traded Fund","USA",,,34.14,0.00%,0
42,"ABEV","Ambev S.A. ADR","Consumer Defensive","Beverages - Brewers","Brazil",34110.68,13.37,2.18,0.00%,0
43,"ABFL","Abacus FCF Leaders ETF","Financial","Exchange Traded Fund","USA",,,68.34,0.00%,0
44,"ABG","Asbury Automotive Group Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",4384.72,8.15,223.02,0.00%,0
45,"ABI","VictoryShares Pioneer Asset-Based Income ETF","Financial","Exchange Traded Fund","USA",,,25.11,0.00%,0
46,"ABIG","Argent Large Cap ETF","Financial","Exchange Traded Fund","USA",,,30.27,0.00%,0
47,"ABL","Abacus Global Management Inc","Financial","Insurance - Life","USA",539.85,,5.29,0.00%,0
48,"ABLD","Abacus FCF Real Assets Leaders ETF","Financial","Exchange Traded Fund","USA",,,28.52,0.00%,0
49,"ABLG","Abacus FCF International Leaders ETF","Financial","Exchange Traded Fund","USA",,,29.10,0.00%,0
50,"ABLS","Abacus FCF Small Cap Leaders ETF","Financial","Exchange Traded Fund","USA",,,22.57,0.00%,0
51,"ABLV","Able View Global Inc","Communication Services","Advertising Agencies","China",49.69,,1.01,0.00%,0
52,"ABM","ABM Industries Inc","Industrials","Specialty Business Services","USA",2830.87,36.40,45.47,0.00%,0
53,"ABNB","Airbnb Inc","Consumer Cyclical","Travel Services","USA",81371.02,32.68,129.90,1.47%,1314
54,"ABNY","YieldMax ABNB Option Income Strategy ETF","Financial","Exchange Traded Fund","USA",,,10.75,0.00%,0
55,"ABOS","Acumen Pharmaceuticals Inc","Healthcare","Biotechnology","USA",81.77,,1.35,0.00%,0
56,"ABOT","Abacus FCF Innovation Leaders ETF","Financial","Exchange Traded Fund","USA",,,37.83,0.00%,0
57,"ABP","Abpro Holdings Inc","Healthcare","Biotechnology","USA",14.32,,0.24,-1.01%,22235
58,"ABR","Arbor Realty Trust Inc","Real Estate","REIT - Mortgage","USA",2152.19,12.68,11.20,0.00%,0
59,"ABSI","Absci Corp","Healthcare","Biotechnology","USA",422.60,,2.93,1.03%,22511
60,"ABT","Abbott Laboratories","Healthcare","Medical Devices","USA",221543.03,15.92,127.29,0.00%,0
61,"ABTS","Abits Group Inc","Financial","Capital Markets","Hong Kong",8.56,,3.61,0.00%,0
62,"ABUS","Arbutus Biopharma Corp","Healthcare","Biotechnology","USA",626.29,,3.27,0.00%,0
63,"ABVC","ABVC BioPharma Inc","Healthcare","Biotechnology","USA",46.70,,2.75,0.00%,0
64,"ABVE","Above Food Ingredients Inc","Consumer Defensive","Packaged Foods","Canada",91.63,,1.79,4.07%,12713
65,"ABVX","Abivax ADR","Healthcare","Biotechnology","France",5410.80,,72.00,0.08%,4226
66,"ABXB","Abacus Flexible Bond Leaders ETF","Financial","Exchange Traded Fund","USA",,,19.55,0.00%,0
67,"AC","Associated Capital Group Inc","Financial","Asset Management","USA",785.28,20.68,37.15,0.00%,0
68,"ACA","Arcosa Inc","Industrials","Engineering & Construction","USA",4083.95,52.48,83.66,0.00%,0
69,"ACAD","Acadia Pharmaceuticals Inc","Healthcare","Biotechnology","USA",3938.02,17.13,23.53,0.00%,0
70,"ACB","Aurora Cannabis Inc","Healthcare","Drug Manufacturers - Specialty & Generic","Canada",252.00,94.51,4.48,0.00%,0
71,"ACCO","Acco Brands Corporation","Industrials","Business Equipment & Supplies","USA",309.94,7.13,3.44,0.00%,0
72,"ACCS","ACCESS Newswire Inc","Communication Services","Advertising Agencies","USA",46.94,,12.20,0.00%,0
73,"ACDC","ProFrac Holding Corp","Energy","Oil & Gas Equipment & Services","USA",1042.76,,6.51,0.00%,0
74,"ACEL","Accel Entertainment Inc","Consumer Cyclical","Gambling","USA",1056.32,25.19,12.48,0.00%,0
75,"ACES","ALPS Clean Energy ETF","Financial","Exchange Traded Fund","USA",,,26.59,0.00%,0
76,"ACET","Adicet Bio Inc","Healthcare","Biotechnology","USA",55.47,,0.67,0.00%,0
77,"ACFN","Acorn Energy Inc","Technology","Scientific & Technical Instruments","USA",71.50,10.77,28.70,0.00%,0
78,"ACGL","Arch Capital Group Ltd","Financial","Insurance - Diversified","Bermuda",32978.40,9.09,88.00,0.00%,0
79,"ACGR","American Century Large Cap Growth ETF","Financial","Exchange Traded Fund","USA",,,60.65,0.00%,0
80,"ACHC","Acadia Healthcare Company Inc","Healthcare","Medical Care Facilities","USA",1942.86,10.35,21.09,0.00%,0
81,"ACHR","Archer Aviation Inc","Industrials","Aerospace & Defense","USA",6200.63,,9.78,1.45%,131636
82,"ACHV","Achieve Life Sciences Inc","Healthcare","Biotechnology","Canada",126.70,,2.55,0.00%,0
83,"ACI","Albertsons Companies Inc","Consumer Defensive","Grocery Stores","USA",10978.59,11.96,19.61,0.00%,0
84,"ACIC","American Coastal Insurance Corp","Financial","Insurance - Property & Casualty","USA",489.82,6.69,10.13,0.00%,0
